shipment_id,origin,destination,distance_km,cargo_type,vehicle_type,departure_time,hour,cargo_weight,traffic_level,weather,status,delay_hours
SHP00001,Bangkok,Chennai,222.6,food,van,2023-08-17 04:47,4,6799.3,0.91,clear,delayed,8.41
SHP00002,Los Angeles,Delhi,246.0,medicine,van,2024-06-01 19:01,19,2068.5,0.72,storm,delayed,15.46
SHP00003,Paris,Miami,2987.4,electronics,van,2024-12-15 13:21,13,1639.2,0.97,rain,delayed,16.06
SHP00004,Bangalore,Los Angeles,573.9,food,rail,2023-02-14 23:29,23,1335.8,0.94,storm,delayed,18.77
SHP00005,Amsterdam,Sydney,3130.7,food,van,2024-12-22 02:02,2,7753.4,0.99,cloudy,in_transit,0.0
SHP00006,Chicago,Berlin,2321.7,food,van,2024-01-15 11:13,11,7048.0,0.75,rain,delayed,11.32
SHP00007,Bangkok,Hyderabad,2717.3,medicine,van,2024-04-18 12:17,12,2274.2,0.46,storm,in_transit,0.0
SHP00008,Paris,Delhi,4044.7,clothing,rail,2023-03-09 06:58,6,8776.0,0.45,storm,delayed,14.83
SHP00009,Chicago,Sydney,2348.4,food,van,2023-09-10 23:35,23,2701.1,0.67,storm,delivered,0.0
SHP00010,New York,Paris,4986.9,medicine,air,2023-04-04 01:55,1,1613.1,0.33,clear,in_transit,0.0
SHP00011,Chicago,Los Angeles,3019.9,clothing,rail,2024-07-20 00:43,0,6848.9,0.63,clear,delayed,13.19
SHP00012,Bangkok,Madrid,646.6,clothing,van,2024-04-09 00:46,0,9721.7,0.81,rain,in_transit,0.0
SHP00013,Bangkok,Amsterdam,4224.2,general,van,2023-06-06 11:48,11,5439.9,0.82,cloudy,delayed,14.19
SHP00014,Mumbai,Bangkok,1688.4,electronics,truck,2024-01-07 09:15,9,2484.6,0.65,clear,delayed,8.66
SHP00015,Toronto,Miami,4098.5,general,van,2023-05-12 21:30,21,1734.8,0.62,storm,delayed,18.28
SHP00016,London,Singapore,3800.8,medicine,rail,2024-02-13 21:41,21,4437.2,0.61,rain,delayed,12.46
SHP00017,Paris,Bangalore,1756.6,general,van,2024-08-25 07:00,7,7107.6,0.25,clear,delayed,6.35
SHP00018,Delhi,New York,447.2,medicine,rail,2024-11-16 15:13,15,1409.9,0.95,storm,delayed,15.54
SHP00019,Miami,Paris,3944.6,clothing,van,2023-04-07 03:42,3,3607.5,0.53,fog,in_transit,0.0
SHP00020,Sydney,Bangkok,4922.4,electronics,truck,2024-02-17 23:21,23,2561.7,0.35,clear,delayed,4.37
SHP00021,Los Angeles,Hyderabad,1464.9,medicine,truck,2024-03-29 17:06,17,6556.2,0.63,clear,delayed,5.01
SHP00022,Bangalore,Nairobi,4258.6,medicine,air,2024-05-12 15:13,15,9034.2,0.33,fog,delayed,12.21
SHP00023,Chicago,Berlin,4639.9,clothing,rail,2024-03-09 22:46,22,6652.5,0.59,storm,delayed,13.88
SHP00024,London,Delhi,2938.0,general,truck,2023-11-18 01:03,1,4820.2,0.94,storm,delayed,17.74
SHP00025,Delhi,Shanghai,492.5,medicine,truck,2024-09-01 02:43,2,4097.4,0.95,cloudy,in_transit,0.0
SHP00026,Dubai,Bangalore,2154.2,general,rail,2023-09-25 06:42,6,2463.0,0.52,rain,delivered,0.0
SHP00027,Houston,Madrid,4652.2,electronics,truck,2024-04-14 19:36,19,825.3,0.37,clear,delayed,9.55
SHP00028,New York,Bangalore,4408.4,food,rail,2023-06-11 14:53,14,7065.0,0.69,storm,in_transit,0.0
SHP00029,Sydney,Shanghai,1567.0,electronics,van,2023-09-28 03:56,3,7449.9,0.32,clear,delayed,1.7
SHP00030,London,Toronto,1780.1,food,air,2023-09-15 01:05,1,8310.5,0.24,fog,delayed,14.17
SHP00031,Kolkata,Sydney,4901.0,medicine,air,2024-07-18 22:27,22,195.7,0.26,storm,in_transit,0.0
SHP00032,Shanghai,Delhi,4189.5,general,van,2024-03-16 04:02,4,3710.1,0.95,rain,in_transit,0.0
SHP00033,New York,London,3442.1,electronics,rail,2024-07-27 13:39,13,9265.1,0.39,cloudy,delayed,8.69
SHP00034,Nairobi,Hyderabad,4418.9,electronics,van,2023-12-07 13:51,13,2741.4,0.83,cloudy,delayed,12.85
SHP00035,Delhi,Tokyo,1189.9,clothing,rail,2023-11-09 07:14,7,6634.3,0.52,clear,delayed,3.85
